s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/25386007,9,The Devil Went Down to Georgia,"~The idea came from a mutual who said that Tae was the Devil because of his Duality. I quite agree. But it had me thinking about a particular song whose title is this work of fiction’s namesake.~ An AU in which Taehyung is the Devil and is controlled by a group of 6 upper class demons. His task is to regularly collect souls. But he has been slacking because he just doesn’t care and thinks it’s bullshit that they have this kind of power over him. Namjoon is getting tired of reminding him of his responsibilities and gives him an ultimatum: Collect a Soul or perish. It doesn’t matter what kind of soul right? What happens if the unfortunate soul he has come to collect is you? Through getting to know you...something within him changes. Will he take your soul and banish you to hell, or will a bet you made with him seal your fate in the end?",2020-07-19,3850.0,Explicit,F/M,In-Progress,All kinds of sex | Anxiety | Belly Dancing Classes | Complicated Relationships | Devils | Dont Mess With Taehyung | Dubious Consent | Evil Souls | Hell | Human/Demon relationships | Kidnapping | Love | Lust | Oversight Council | Pole Dancing Classes | Preying on the innocent | Pure Souls | Slow Burn | Summer Heat | Taehyung on a pole? | That annoying best friend | a bet | soft spot,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/26964220,9,Tree Rings,,2019-12-10,25127.0,Teen And Up Audiences,F/M,Completed,Alternate Universe | Multiple Lifetimes | Reincarnation | Soulmates,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",taehyung
https://golemlab.eu/graph/14824811,9,Sea Glass,"Just you, Taehyung, a beach, and some sea glass",2018-06-02,617.0,General Audiences,F/M,Completed,Fluff,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/9517229,9,,,,,,,,,,taehyung
https://golemlab.eu/graph/39746544,9,Business Meeting,What will happen when you meet the CEO of opposing companies?,2022-06-19,4600.0,Mature,F/M,Completed,Business | Business Owner Kim Taehyung | V | Foreplay | POV Female Character | Smut,"Kim Taehyung | V/Reader, Kim Taehyung | V/You Series: One Shots [1]",taehyung
https://golemlab.eu/graph/16354526,9,I still want you,"angst,fluff AU where Taehyung is a member of BTS and you are part of an american girlband called 5 O'clock. You've been a fan for a long time, and you'll soon discover that Taehyung, is also a very big fan of your band. You meet each other for the first time at the BBMA's and things take off from there.",2018-10-20,1920.0,General Audiences,F/M,In-Progress,I hope this is not cringey | also | for sure | there will be smut,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/29166162,9,Whispering Plague~||~Taehyung x Y/N~||~Fanfiction,"These chapters will be short, this is old work. Y/N finds herself in a tough spot. Let me elaborate. Wednesday, December the 16th, 2022, the day the plague hit. The last day she would see the world the same. When the plague hit, her mother sent her away so she wouldn't get it, it affected 9/10 people and had a death rate of 100%. Her town was empty for awhile, so silent her ears would start to ring, just so she wouldn't go insane. But would this life ever change? When she started seeing signs of other life she saw hope, another person? <⚠️Smut Warning⚠️> <⚠️Self harm warning ⚠️ > <⚠️slight violence warning ⚠️ >",2021-02-03,520.0,Teen And Up Audiences,F/M,In-Progress,Angst | Apocalypse | Character Death | Kim Taehyung | V & Park Jimin are Best Friends | Smut | Top Kim Taehyung | V | Virus,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/27668197,9,BEACH,Spending time with Taehyung at the beach.,2020-11-22,266.0,General Audiences,F/M,Completed,Fluff,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/29639721,9,Game Changer,"(Based off of BTS Run where they play the pc games) Paring: taehyung/reader Genre: crack, fluff Au: best friend to lovers Word Count: 3.3k Warnings: swearing, bad bitch energy, friendly teasing, sexual tension Check the end for notes on the story and future postings! <3",2021-02-22,3458.0,General Audiences,F/M,Completed,Gamer Jeon Jungkook | Gamer Kim Taehyung | V | Teasing,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/16755505,9,Latte Art,"You couldn't go the day without a cup of coffee. Without it, you'd crumble into your shoes due to pure exhaustion. One day, you head to a cafe due to a shortage of your own coffee- and the barista you'd seen there made it all worth while.",2018-11-26,1182.0,Not Rated,F/M,In-Progress,Barista Jeon Jungkook | Barista Kim Taehyung | V | Barista Park Jimin | Crushing | Fluff | Friends to Lovers | I couldn't resist | I hope you like it uwu | Ok bye | Romance | Romantic Fluff | i've wanted to write this for so long,Kim Taehyung | V/Reader,taehyung
