s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/13316937,265,The Sexual Experiment - BTS,"The reality of it was... you were a sex experiment for BTS. Of course you were going to agree to do it. A chance to meet BTS - but wasn't the situation a little strange? You were to be an experiment, a dummy if you will. The purpose of you being there was to let them do whatever sexual acts they wanted. What was the reason, though? Why are all seven members taking turns to be with you? You were told it was for the purpose of their sex-appeal, to increase their confidence and change their personalities to suit their new music. Yet you didn't expect to be living in their apartment, waiting each day to see which member would appear. Was it a competition? Was it for a greater purpose? Not that it mattered... you truly got to know them inside out.",2018-01-08,542.0,Explicit,M/M,Completed,Erotica | Smut | Submission,"Jeon Jungkook/Reader, Jeon Jungkook/You, Jung Hoseok | J-Hope & Reader, Jung Hoseok | J-Hope/Reader, Jung Hoseok | J-Hope/You, Kim Namjoon | Rap Monster & Reader, Kim Namjoon | Rap Monster/Reader, Kim Namjoon | Rap Monster/You, Kim Seokjin | Jin & Reader, Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You, Kim Taehyung | V/Reader, Kim Taehyung | V/You, Min Yoongi | Suga & Reader, Min Yoongi | Suga/Reader, Min Yoongi | Suga/You, Park Jimin (BTS)/Reader",jungkook
https://golemlab.eu/graph/8174395,262,Love Me Like You Love Chicken Nuggets,"Tumblr request from @dontcallmemarge - ""Can I request a jealousy type story with Kookie? Where they like each other but she doesn't know bc denial is too real.""",2016-10-01,4205.0,Teen And Up Audiences,F/M,Completed,Alternate Universe - College/University | Drinking | Fluff and Angst | Friends to Lovers | Jungkook's a jealous little shit | Swearing | Tumblr Prompt | side Tae & OC | side Yoonjin,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/11011218,261,Clueless (M),Nothing is more difficult than giving dating pointers to a guy you've been crushing on.,2017-05-27,7470.0,Mature,F/M,Completed,Fluff and Smut,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/10542357,261,Finally,"You go to school like every other person in the world. Have your friends, family, pets. You also have an online relationship with someone you haven't met before. At least that's what you think.",2017-04-04,6060.0,Explicit,F/M,Completed,Femdom | Fluff | Mommykink | Smut | Top!Reader | Tumblr relationships meet real life | babyboy!jungkook | bottom!jungkook | femdom!reader | much cute,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/16660027,260,𝐓𝐇𝐄 𝐏𝐑𝐈𝐍𝐂𝐄 𝐖𝐈𝐓𝐇 𝐓𝐇𝐄 𝐔𝐆𝐋𝐘 𝐇𝐄𝐀𝐑𝐓 | J.JUNGKOOK,Fate sees it fit that both you and an ugly-hearted prince cross paths with the help of a little magic ft. Jungkook in my version of 'Beauty and the Beast',2018-11-18,100998.0,Not Rated,F/M,In-Progress,Alternate Universe - Fantasy | Baker Seokjin | Beauty and the Beast AU | Character Development | Curses | Jeon Jungkook & Kim Taehyung | V are Best Friends | Jeon Jungkook is Whipped | Jeon Jungkook is a Little Shit | Magic | Prince Jeon Jungkook | V is a cute cockblock | conflict/war | first commander kim namjoon | florist reader | jungkook is the beast | kim taehyung | V is your cute little brother | royal messenger hoseok | second commander min yoongi | slowburn | you are the beauty,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/16176455,259,Birthday Boy,You decided to give Jungkook the one thing that he's always wanted for his birthday: A chance to cum inside. Birthday boy Jungkook/ Noona Reader,2018-10-03,3699.0,Explicit,F/M,Completed,Creampie | Established Relationship | Fluff and Smut | Jeon Jungkook is a Brat | Jeon Jungkook is a Little Shit | Older Woman/Younger Man | Older reader | Oral Sex | Rough Sex | Smut | Unprotected Sex,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/14992400,259,"Won't You Come Home With Me, Sweetheart?",The start of a collection of one-shots with BTS and their age-play baby. Not famous BTS in this fic - at least not as a K-Pop band.,2018-06-20,1115.0,General Audiences,F/M,Completed,Abuse | Age Play | Angst | Fluff | Homelessness | Hurt/Comfort | Non-Sexual Age Play,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader Series: BTS Age-Play [1]",jungkook
https://golemlab.eu/graph/7277611,259,Crazy in Love,"It is 2014, and you're an American exchange student in Korea. You expect to go through college quietly, then go home and live your life. Reader/BTS, told in vignettes.",2016-06-23,22669.0,Teen And Up Audiences,F/M,In-Progress,"Angst | Drabble Collection | Extremely foul language | Fluff | Hoseok is a fucking angel | Hoseok is my hope | I have over 100 planned for now | Min Yoongi | Suga is Bad at Feelings | Slow Burn | Sorry Not Sorry | and there are like ""all"" chapters that you read for each character | but expect sexytimes later | but for now it's a teen rating | but you choose your character | i'm just a fucking potty mouth | jhope - Freeform | my angel | not just because of yoongi | requests open | sin is probable | super slow burn | taehyung is a fucking bias wrecker tbh | this is like all one storyline","Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | Rap Monster/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin/Reader",jungkook
https://golemlab.eu/graph/13063968,257,You. Will. Love. Me.,"Life was normal. You were going to school, had nice friends, had a steady job, and had your entire life planned out. So how did you get wrapped up in the lives of 7 psychopaths? 7 different personalities, 7 different ways to meet your end. What would you do to stay alive?",2017-12-19,4977.0,Not Rated,F/M,In-Progress,I Don't Even Know | I read a yandere BTS fic and got inspired | I'm Bad At Tagging | My First Work in This Fandom | Reader-Insert | Yandere | Yandere BTS | Yandere!BTS | depending on whether you want to live | i might make different endings for each member | i'll tag as i go along tbh | or if you want to die | reader - Freeform | reader inserts is my kink | there might be some graphic violence but i wont go into too much detail,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | Rap Monster/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader",jungkook
https://golemlab.eu/graph/33430624,257,Explicit parts of BTS fanfics (yt: TinyFics°•~),Too explicit for youtube (Tinyfics•°~) so it's published here,2021-08-23,309.0,Explicit,F/M,Completed,Explicit Sexual Content,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/21677479,257,Promise (Yandere Jungkook x Reader),"Whatever you do, don't break a promise to Jungkook",2019-12-05,1657.0,Mature,F/M,Completed,Abuse | Abusive Relationship | Controlling Behaviour | Punishment | Toxic Relationship | Yandere BTS | Yandere Bangtan Boys | BTS | crying jungkook | kpopyandere | noona,"Jeon Jungkook/Reader, Yandere!Jungkook/Reader",jungkook
https://golemlab.eu/graph/17513618,255,blank check,"“Let me get this right, okay? You threw my name in as your fake girlfriend because you needed to prove yourself to your empty-headed friends, and now you need to fix it. Still,” you paused, raising your eyebrows, “your way of fixing is not to disclose it as a lie, but to cover it up with an even bigger and riskier one. Is that correct?”",2019-01-22,44475.0,Mature,F/M,In-Progress,Alternate Universe - College/University | Crack | Fake Dating | Fake/Pretend Relationship | Smut | frat house | fratboy | fuckboy au | fuckboy!jungkook,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/21759436,255,Welcome to the Underworld,"In a dark little second-hand shop downtown, stuffed in an alleyway you only stumbled into because you were lost, you found a charming antique radio. When you turned it on, it began to play what would become your favorite radio show, “Welcome to the Underworld” **“Good evening, helions and harpies, this is your host, JK. For those who are new here, do your best to hold on to the scraps of your sanity and Welcome to the Underworld” **",2019-12-11,9676.0,Mature,F/M,Completed,Alternate Universe - Angels & Demons | Alternate Universe - Radio | Creampie | Dark Comedy | Demon Jeon Jungkook | Dom Jeon Jungkook | Dom/sub Undertones | Hell | Manhandling | Multiple Orgasms | Overstimulation | Reader-Insert | Slapping | Smut | Temperature Play | radio host jungkook | reader has no fear but neither do I so,Jeon Jungkook/Reader Series: the Underworld Series [2],jungkook
https://golemlab.eu/graph/9108760,255,"Beautiful, Dirty, Rich","Inspired by Lady Gaga's song Beautiful, Dirty, Rich.",2016-12-29,5699.0,Explicit,F/M,Completed,Anal Sex | Cock Slut | Cum Play | Dirty Talk | Double Penetration | Double Penetration in Two Holes | Drug Use | Gay Sex | Grinding | Group Sex | Hand Jobs | Male Slash | Male x Male Sex | Minor Jung Hoseok | J-Hope/Park Jimin | Oral Sex | Orgy | Public Sex | Rough Sex | Sex | Smut | Swearing | Vaginal Sex | alcohol use | bi!BTS | bi!bangtan | bisexual bts | bukake | cum slut | fem!dom | goddess kink | jimin / hoseok | kinky smut | male x female oral sex | male x male interactions | male x male oral sex | public grinding,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Park Jimin, Jung Hoseok | J-Hope/Park Jimin/Reader, Kim Namjoon | Rap Monster/Reader, Min Yoongi | Suga & Reader",jungkook
https://golemlab.eu/graph/20362939,254,Everything In You,"You want a baby, Jungkook is willing to help.",2019-09-01,27569.0,Explicit,F/M,Completed,Friends to Lovers | Impregnation | Jimin ex boyfriend | Pregnancy Kink | Roommates | Sperm Donor,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/15329757,253,How to fall in Love,"You've just adopted a dog, moved into a new apartment, and finally, things around you seem to settle down after you decided to paint your world a new color. However, nothing will stay that way after you help a quite familiar stranger with his directions. Suddenly you're caught in a dance only two are told to participate in- but what if 8 people, including you, try it out, even though you all seem to risk way too much for something as simple as love? Or is it much more than 'just love'?",2018-07-17,31598.0,Mature,F/M,In-Progress,Alternate Universe | Angst | Dance Instructor Jung Hoseok | J-Hope | Dancer Jung Hoseok | J-Hope | Delivery Boy Park Jimin (BTS) | Doctor Kim Seokjin | Jin | Drama | Drama & Romance | Eventual Smut | How Do I Tag | I Wrote This Instead of Sleeping | Light Angst | Light Dom/sub | Mental Illness | OC | Philosophy Teacher Kim Namjoon | RM | Police Officer Min Yoongi | Suga | Polyamory | Romance | Stay Safe Guys | Tags Are Hard | University Student Jeon Jungkook | University Student Kim Taehyung | V | dont judge me | everybody loves reader | okay this is pretty angsty in some chapters | yeah I'm about to hit that road,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader, Reader/Everyone",jungkook
https://golemlab.eu/graph/19398112,252,"this isn't love, darling","he tasted of an empty night and an eclipsing moon, with blood on his hands and fire in his eyes when he put his mouth on yours.",2019-06-28,5316.0,Explicit,F/M,Completed,Alternate Universe - Escorts | Alternate Universe - Mob | Begging | Biting | Choking | Creampie | Dirty Talk | Dom Jeon Jungkook | Humiliation | Impregnation | Impregnation Kink | Light Dom/sub | Mafia AU | Mafia BTS | Masochism | Multiple Orgasms | Oral Sex | Orgasm Denial | Overstimulation | Possessive Sex | Rough Sex | Sadism | Sex Work | Slapping | Spanking | degredation | gagging,"Jeon Jungkook/Reader, Jeon Jungkook/You",jungkook
https://golemlab.eu/graph/28546173,252,Our Gray Winter,"“Were you looking for this?” Taehyung asked as he handed you the box of tampons you always bought. He remembered. You wanted to sink into the floor and die. Instead, you recalled your manners and said, “Thanks.” You put the box in your basket. “I can’t believe you remembered.” He beamed at you. It was patently unfair how he could look all glowy and soft while you looked… not like that. “Of course, Y/N.” If possible, Taehyung’s voice dropped even lower. “I remember everything about you.”",2021-01-04,25579.0,Explicit,F/M,Completed,Aged-Up Character(s) | Alternate Universe | Alternate Universe - Non-Famous | Angst | Angst with a Happy Ending | Exes | Post-Divorce | Smut,"Jeon Jungkook/Reader, Kim Taehyung | V/Reader",jungkook
https://golemlab.eu/graph/11268456,252,Once Upon A Time,"You started singing at the park to relive stress, you never thought anyone would hear you! And never in a million years did you think they would think you sounded good, comparing you to a princess even! But now here you were, having made a tradition out of coming to the park to sing for your tiny fanbase. You thought the children would be the only ones to hear you now, certainly no more listeners? Definitely no one attractive and your age. No way. ~~~ Each chapter is based off of a Disney Princess song~ There will be one chapter for each member plus an epilogue! I hope you all enjoy, and have fun guessing what songs I'll use for which members~ Hint: One of the songs is not necessarily a princess song, but a disney song nonetheless.",2017-06-22,10811.0,Teen And Up Audiences,F/M,In-Progress,Fluff | Music | Romance | Romantic Fluff,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | Rap Monster/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader Series: FairyTale Bangtan [1]",jungkook
