s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member,members_found
https://golemlab.eu/graph/33292675,11,Restoration,"You return to your childhood home with your partner, Jin, only to discover how much it’s changed.",2021-08-16,10124,Explicit,F/M,Completed,Established Relationship | Kim Seokjin | Jin Has a Choking Kink | Light Dom/sub | Slice of Life | Smut | Vaginal Fingering,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/34731691,11,Strawberry Boy,Just the domestic days of a darling witch and their tricksy fae boyfriend,2021-10-26,2350,General Audiences,Other,In-Progress,Alternate Universe - Fae | Alternate Universe - Fantasy | Domestic Fluff | Fae Seokjin | Fluff | Gender Neautral Reader | witch reader,Kim Seokjin | Jin/Reader Series: Strawberry Orangeade [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/12203649,11,Delirious,Strange things were happening to your bestfriend after his 21st birthday and he didn't understand why is was... All he knew was that he wanted you more than any other girl in the entire universe... What's a changing boy to do when he only wants you?,2017-09-27,1981,Explicit,F/M,Completed,Blood | Blood and sex | Bloodlust | Loss of Virginity | Mentions of Turning | Sexual Frustration | Sexual Tension | Unprotected Sex | eventual biting | vampire,Kim Seokjin | Jin/You Series: Unrelated One Shots Portfolio [21],seokjin,{'seokjin'}
https://golemlab.eu/graph/22027774,11,Forget Me Not,"Since long ago the seven kingdoms of Lentavia have worked together as one, sharing their resources and prospering because of it. Each kingdom has its own prince, each a beautiful man who rules fairly, caring for their people and distributing their resources amongst the kingdoms. The seven of them are much like brothers, having grown up together in their joint castles that sit in the middle of the island. They are free to rule as they please and do what they wish, as long as it is harmonious within the kingdoms. They must, however, follow one rule. At age 26 they must marry a person of their choosing in order to fully take the throne and become a king. The eldest prince, Seokjin, is 2 days from the date he must choose his betrothed and has yet to even suggest someone as an option.",2019-12-30,8555,Not Rated,F/M,In-Progress,Witch!Reader | prince!jin,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/28370094,10,Love Talk - Jin,"Jin and his girlfriend (reader, nicknamed Angel) have always had different approaches to their intimate life. After a session of attempted fond lovemaking accidentally turned into messy fucking; Jin -- under Jimin's recommendation -- decides to start looking at sex from a different angle. After consulting a helpful guide, he is finally ready to have ""the talk"". TRIGGER WARNINGS CONTAINED IN AUTHOR'S NOTE",2020-12-27,10840,Explicit,F/M,Completed,,Kim Seokjin | Jin/Reader Series: The Devilish Angel [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/40943259,10,The 7 Tattoo,"Y/n and Jin have been friends since a while and both secretly had feelings for each other. When Jin gets his friendship tattoo and shpows it to Y/N, the heat brewing between them intensifies.",2022-08-10,2915,Explicit,F/M,Completed,Biting | Dom/sub Undertones | Dry Humping | Explicit Sexual Content | Kissing | Light Dom/sub | Nipple Play | Oral Sex | Shameless Smut | Smut | Switch Kim Seokjin | Jin | Switching | Vaginal Fingering | Vaginal Sex | hornyjin | hornyreader | kimseokjin,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/41094453,10,Love Potion,You've been best friends with Jin for years and nothing will ever change that...except a love potion.,2022-08-17,1402,General Audiences,F/M,Completed,Bad Puns | Crack | Fluff and Crack | Friends to Lovers | Love Confessions | Love Potion/Spell | One Shot | Sweet Kim Seokjin | Jin | because I wrote it when I was still a newish army | very cringe,Kim Seokjin | Jin/Reader Series: Jin & Reader One Shots [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/39082389,10,The Lake,A day at the lake with Seokjin and your friends alters your young heart forever.,2022-05-19,1413,Explicit,F/M,Completed,A bit of teenage angst | Family Vacation | Fluff | Friends to Lovers | Hyung line antics | Mentions of Bug's low self-esteem | Mid-2000s references | Swearing | blossoming feelings,Kim Seokjin | Jin/Reader Series: All For You [4],seokjin,{'seokjin'}
https://golemlab.eu/graph/38302924,10,Fallout,"A cozy night in with Seokjin brings you two closer than ever, and things start to get real.",2022-04-11,1137,Explicit,F/M,Completed,Angst | Cuddling & Snuggling | Eventual Smut | Fluff | Friends to Lovers | Miscommunication | Niche Food Network references | Seokjin and Bug antics | Swearing | lots of feelings,Kim Seokjin | Jin/Reader Series: All For You [2],seokjin,{'seokjin'}
https://golemlab.eu/graph/38080105,10,Surface Pressure,Your life has always had various aspects of pressure. Cracks in the wall at every turn so it's no surprise when it finally breaks. Thankfully there's someone there to help keep you together.,2022-03-31,6031,Teen And Up Audiences,F/M,Completed,Anxiety | Bullying | Depression | Don't support TERFs | Emotional/Psychological Abuse | Fluff | Hurt/Comfort | Mental Health Issues | Mention of JK Rowling | Panic Attacks | Parental Abuse,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You",seokjin,{'seokjin'}
https://golemlab.eu/graph/31372517,10,Nowhere To Go,"It was supposed to be a fun hike in the forest, except the quick turn of the weather leaves you stranded at the Rangers Outpost. Part of the BGW Drabble Marathon posted originally on my tumblr",2021-05-18,1159,General Audiences,F/M,Completed,Comedy | Fluff | Friends to Lovers | Humor | Humour | Romance,Kim Seokjin | Jin/Reader Series: BGW drabble marathon [16],seokjin,{'seokjin'}
https://golemlab.eu/graph/19980070,10,Don’t Get The Wrong Idea,"Jin takes Y/N with him to meet the boys for the first time. Naturally she really don’t want the boys to get the wrong idea of her... but how can she anything for being so sensitive to her boyfriends touch... ""Seriously Jin... you're not that stupid are you. Take the hints... she's quiet, stomach ache.."" Yoongi snarrled with a sigh. ""And she's very sensitive!"" Jimin backed up.",2019-07-25,4896,Teen And Up Audiences,F/M,Completed,BTS Dorm | Jin - Freeform | Jin x Reader | Love | Oneshot | Sex | Yoongi - Freeform | bts - Freeform | heat - Freeform | hoseok - Freeform | jeongguk - Freeform | jimin - Freeform | jin reader | jungkook - Freeform | seokjin - Freeform | taehyung - Freeform,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/41395149,10,seokjin | one-shots,"when you and jin have weddings to attend, you decide to help one another by agreeing to being each other's plus ones.",2022-08-31,10239,Teen And Up Audiences,F/M,In-Progress,Banter | Fake Dating | Fluff | Hawaii | Kiss Kiss Fall in Love | Light Angst | Romance,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/25967893,10,Connected,"Quick Jin, fluffy fluff fluff. Idols live busy lives!",2020-08-18,1244,General Audiences,F/M,Completed,Fluff | Long-Distance Relationship,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/36338767,10,You've Got It?,"""Deep breaths, Seokjin-ah, deep breaths."" Seokjin has a new stylist and he doesn't know how to deal with his attraction towards her.",2022-01-10,2726,Mature,F/M,Completed,5th Muster: Magic Shop (BTS Fan Meeting) | Blow Jobs | Kim Seokjin | Jin Being An Asshole | Light Angst | Purple-Haired Kim Seokjin | Jin | Stylist Reader,Kim Seokjin | Jin/Reader Series: Bighit Staff Series [2],seokjin,{'seokjin'}
https://golemlab.eu/graph/22218826,10,Wink When Ready,"When he winks at the camera, you know to be ready for him when he gets home.",2020-01-12,786,Explicit,F/M,Completed,Dom/sub Undertones | Light Bondage,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/28354101,10,Our First (and Definitely Not Last) El Bimbo,"After learning about your lack of appreciation for dancing, Seokjin takes it upon himself to teach you with your favorite song and a camera.",2020-12-27,2957,Mature,F/M,Completed,Established Relationship | Filipino OC | Fluff | Lotus Sex | Oral Sex | Sex Tapes | Slow Dancing | Smut | Soft Dom Kim Seokjin | Jin | Songfic | Vaginal Sex,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/36366151,10,The Cellist,She’s been selected to perform with the most famous band in the world. But will the secrets she’s holding keep her from growing close to one of the members?,2022-01-11,11001,Teen And Up Audiences,F/M,Completed,,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/16268054,10,Different Autumns,Kim Seokjin is spending a busy autumn in Chicago when he receives a phone call from someone he least expects. Warning: full of cheesy tropes lol. Cheesier than cheese tteokbokki with egg.,2018-10-11,2599,General Audiences,F/M,In-Progress,Airports | First Love | Teacher-Student Relationship | Tropes | bts - Freeform | um ok,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/33747211,9,King of Hearts,You are a famous writer who can’t exactly show up to an event alone… so you hire an escort…his name is Jin,2019-07-27,32453,Mature,F/M,In-Progress,Angst | Angst and Fluff and Smut | BTS Kim Seokjin | Eating out | Escort Service | Escorts | Fucking | Jin - Freeform | Kim Seokjin - Freeform | Smut | Swearing | Vaginal Fingering | bts - Freeform | bts escorts | bts jin | bts smut,Kim Seokjin | Jin/Reader Series: King of Hearts [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/40681344,9,Moon and his bun,"What started as a Dom/Sub relationship got more intertwined than the shibari knots or how Dom Kim Seokjin is whipped and totally in love with his Sub, woman, love of his life.",2022-07-30,4984,Mature,F/M,Completed,Aftercare | Anal Plug | Anal Sex | Bondage | Dom Kim Seokjin | Jin | Established Relationship | Fluff and Smut | Kim Seokjin | Jin is Whipped | Light BDSM | Sweet Kim Seokjin | Jin | blowjob,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/38542525,9,Ladybugs,You and Seokjin have some fun in the sun.,2022-04-22,532,Explicit,F/M,Completed,Drabble | Drabble Series | Fluff | Friends to Lovers | Origin Story | Seokjin & Bug as kids | cute childhood antics | lots of sugar consumption,Kim Seokjin | Jin/Reader Series: All For You [3],seokjin,{'seokjin'}
https://golemlab.eu/graph/12292335,9,You're the Stars to My Night Sky,"The night sky was empty and dull. But the first star appeared when you came into my life. By the end, you presented me a beautiful sight that I have never seen before.",2017-10-07,1292,General Audiences,F/M,Completed,Alternate Universe - High School | Fluff | Has hardly any plot | I dont know what Im writing but I hope you enjoy | its just cute stuff,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/25447945,9,First Time,"Jin wanted to take things slow in your relationship, but you had no idea that it was because he was a virgin. Jin is eager to learn as you guide him through his first sexual experience with you.",2020-05-15,775,Explicit,F/M,Completed,Explicit Language | Explicit Sexual Content | First Time | Loss of Virginity | Love | Oral Sex | Sex | Sweet Kim Seokjin | Jin | Teaching,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/39075081,9,Just What I Need,"After a long, stressful day at work, Jin knows exactly what you need to take your mind off of the stress and somewhere weightless and full of bliss.",2022-05-18,4303,Explicit,F/M,Completed,Alternate Universe - Idols | Dom Kim Seokjin | Jin | Established Relationship | Jin x Reader | jin smut | kim seokjin bts | kim seokjin smut,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/34461931,9,Takes Two,Wasn’t it always the first borns that get sacrificed for the sake of the parents’ greedy wish?,2021-10-12,1812,Not Rated,F/M,In-Progress,Alternate Universe - Parents | Arranged Marriage | Innuendo | Married Couple | Wedding Night,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
