communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
12,29,0.35365853658536583,2,6.833333333333333,5.0,0,55,General Audiences,Louvain,5,2.5,82,179,0.16452823517889012,Model Evaluation Results
12,29,0.35365853658536583,2,6.833333333333333,5.0,0,56,General Audiences,Leiden,5,2.5,82,179,0.3292032083892513,Model Evaluation Results
14,29,0.35365853658536583,1,5.857142857142857,4.0,1,57,General Audiences,Louvain,5,3.0,82,179,0.15035722807892066,Model Evaluation Results
14,29,0.35365853658536583,1,5.857142857142857,4.0,1,58,General Audiences,Leiden,5,3.0,82,179,0.3143316375893387,Model Evaluation Results
36,9,0.10975609756097561,1,2.2777777777777777,1.0,23,59,General Audiences,Louvain,5,3.5,82,179,0.09660619389984978,Model Evaluation Results
36,9,0.10975609756097561,1,2.2777777777777777,1.0,23,60,General Audiences,Leiden,5,3.5,82,179,0.2203114759214758,Model Evaluation Results
8,32,0.47761194029850745,2,8.375,4.5,0,61,General Audiences,Louvain,6,1.0,67,133,0.21927938347837644,Model Evaluation Results
7,32,0.47761194029850745,2,9.571428571428571,5.0,0,62,General Audiences,Leiden,6,1.0,67,133,0.33192944767934873,Model Evaluation Results
9,23,0.34328358208955223,2,7.444444444444445,5.0,0,63,General Audiences,Louvain,6,1.5,67,133,0.1906994006191587,Model Evaluation Results
9,23,0.34328358208955223,2,7.444444444444445,5.0,0,64,General Audiences,Leiden,6,1.5,67,133,0.3715303295833568,Model Evaluation Results
11,21,0.31343283582089554,2,6.090909090909091,4.0,0,65,General Audiences,Louvain,6,2.0,67,133,0.17966036793587473,Model Evaluation Results
11,21,0.31343283582089554,2,6.090909090909091,4.0,0,66,General Audiences,Leiden,6,2.0,67,133,0.36474645259765964,Model Evaluation Results
11,21,0.31343283582089554,2,6.090909090909091,4.0,0,67,General Audiences,Louvain,6,2.5,67,133,0.17966036793587473,Model Evaluation Results
12,21,0.31343283582089554,1,5.583333333333333,3.5,1,68,General Audiences,Leiden,6,2.5,67,133,0.34753236474645266,Model Evaluation Results
14,21,0.31343283582089554,1,4.785714285714286,3.0,2,69,General Audiences,Louvain,6,3.0,67,133,0.1318200620934914,Model Evaluation Results
14,21,0.31343283582089554,1,4.785714285714286,3.0,2,70,General Audiences,Leiden,6,3.0,67,133,0.31033410594154565,Model Evaluation Results
36,7,0.1044776119402985,1,1.8611111111111112,1.0,24,71,General Audiences,Louvain,6,3.5,67,133,0.05423223266374523,Model Evaluation Results
36,7,0.1044776119402985,1,1.8611111111111112,1.0,24,72,General Audiences,Leiden,6,3.5,67,133,0.1801119339702641,Model Evaluation Results
14,282,0.22065727699530516,2,91.28571428571429,91.5,0,73,Teen And Up Audiences,Louvain,1,1.0,1278,15542,0.31168675583733213,Model Evaluation Results
15,299,0.23395931142410015,2,85.2,78.0,0,74,Teen And Up Audiences,Leiden,1,1.0,1278,15542,0.34689636423963977,Model Evaluation Results
22,152,0.1189358372456964,2,58.09090909090909,57.0,0,75,Teen And Up Audiences,Louvain,1,1.5,1278,15542,0.297360809362187,Model Evaluation Results
22,150,0.11737089201877934,2,58.09090909090909,55.5,0,76,Teen And Up Audiences,Leiden,1,1.5,1278,15542,0.3448877099675417,Model Evaluation Results
28,85,0.06651017214397496,2,45.642857142857146,43.0,0,77,Teen And Up Audiences,Louvain,1,2.0,1278,15542,0.2811232024235096,Model Evaluation Results
31,78,0.06103286384976526,2,41.225806451612904,41.0,0,78,Teen And Up Audiences,Leiden,1,2.0,1278,15542,0.33080575179942145,Model Evaluation Results
38,76,0.0594679186228482,2,33.63157894736842,30.5,0,79,Teen And Up Audiences,Louvain,1,2.5,1278,15542,0.2646580706085443,Model Evaluation Results
