s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found
https://golemlab.eu/graph/15575943,886,Protection Squad,A kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. You thought Suga was just like any other cat you happened to meet in therapy. You realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,2018-08-05,42319,Mature,F/M,Completed,Bird Hybrid Jeon Jungkook | Bird Hybrid Park Jimin | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jung Hoseok | J-Hope | Dog hybrid kim namjoon | Fennec Fox Hybrid Kim Taehyung | Hedgehog Hybrid Kim Seokjin | Hybrid AU | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrid Park Jimin | Hyrbid Kim Namjoon | Jeon Jungkook Bird Shapeshifter | Jeon Jungkook Shapeshifter | Jung Hoseok Dog Shapeshifter | Jung Hoseok Shapeshifter | Kim Namjoon Dog Shapeshifter | Kim Namjoon Shapeshifter | Kim Seokjin Hedgehog Shapeshifter | Kim Seokjin Shapeshifter | Kim Taehyung Fennec Fox Shapeshifter | Kim Taehyung Shapeshifter | Magic AU | Mental Health Themes | Min Yoongi cat shapeshifter | Min Yoongi shapeshifter | Park Jimin Bird Shapeshifter | Park Jimin Shapeshifter | Soulmate AU | Strong depression/anxiety themes | Suicide Attempt | possible triggers | shapeshifter AU | soulmate | warnings in notes,"Min Yoongi | Suga/Reader, Or is it? :)) Series: Protection Squad [1]",false,yoongi,{'yoongi'}
https://golemlab.eu/graph/13182267,870,Bet I Can Satisfy You,"“That one hurt, huh?” you hear Yoongi’s voice say nonchalantly from behind. He sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while Min Yoongi canes your ass. “What number are you on?” he prompts. For a second you fear that you forgot already, but thankfully it comes back. “Seven, sir.” “Good girl.” Schwack! ************************ Multi-chapter explicit Dominant Yoongi x Masochist Reader to fill the prompt: ""Reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. Now in a loving relationship with Yoongi, they decide to start trying kinky shit. Yoongi is determined to satisfy his girl's needs by any means necessary.""",2017-12-28,19928,Explicit,F/M,Completed,Aftercare | Anal Fingering | Anal Play | Begging | Blackmail | Blow Jobs | Bondage | Breathplay | Caning | Consensual Kink | Cumming without permission | Deepthroating | Degradation | Dominance | Double Penetration | Duct Tape | Edgeplay | Established Relationship | Face Slapping | Give the 2nd person POV a chance guys | Heavy BDSM | Hurt/Comfort | Masochism | Masochistic!Reader | Multiple Orgasms | Oral Sex | Painplay | Plot What Plot/Porn Without Plot | Punishment | Rough Sex | Sex Toys | Slut Shaming | Spanking | Subspace | Three Holes Filled | Top Min Yoongi | Suga | Verbal Humiliation | Vibrators | Whipping | Yoongi is an A+ Dom | authentic bdsm | dominant yoongi | not using a condom | post sex snuggles | sadistic!minyoongi | safe words,Min Yoongi | Suga/Reader Series: fics about working through hardcore kinks [1],false,yoongi,{'yoongi'}
https://golemlab.eu/graph/13801209,869,My Cheating Amnesic Fiancé 2,"In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Or well, used to be. After finally resolving Jungkook's amnesia and your complicated relationship, one would think that everything was fine. But destiny isn't done messing with your life yet. Due to an incident where you confronted Jungkook's brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. But in order to do that, you cannot tell him about you and Jungkook. Additionally, Jungkook isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. Furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. Will your relationship with Jungkook make it through all the hurdles and hindrances that destiny sets before you? Or are you two really not meant to be? A continuation of My Cheating Amnesic Fiancé. Follow me on Twitter, @AW_Collins!",2018-02-25,122077,Teen And Up Audiences,F/M,Completed,Angst | Arranged Marriage | Attempted Rape/Non-Con | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [2],false,jungkook,{'jungkook'}
https://golemlab.eu/graph/25142842,854,Kalokagathia | JJK ✔,"Kalokagathia (n.) - the good and beautiful in a person. A bunny hybrid Jungkook x reader AU. Started: June 1, 2020 Completed: January 11, 2021 Also published on Wattpad.",2020-07-08,111942,Mature,F/M,Completed,BTS AU | Bts army - Freeform | Bunny Hybrid Jeon Jungkook | Cat Hybrid Min Yoongi | Suga | Doctor Kim Seokjin | Jin | Doctor Reader - Freeform | Dog Hybrid Jung Hoseok | J-Hope | Dog Hybrid Kim Taehyung | V | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Namjoon | RM | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrids | Police Officer Park Jimin (BTS) | Wolf Hybrid Kim Namjoon | RM | bts - Freeform | bunny hybrid | cat hybrid | dog hybrid | jeon jungkook - Freeform,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Kim Taehyung | V/Park Jimin, Kim Namjoon | RM/Kim Seokjin | Jin/Min Yoongi | Suga Series: Kalokagathia Universe [1]",false,jungkook,{'jungkook'}
https://golemlab.eu/graph/13696458,823,Little Bit Of Trouble,"This has been requested by multiple people, and I have never written a fanfic like this before so please bear with me. I had just recently lost my job, and was becoming borderline desparate.  I had eaten through all of my savings and was down to my last bit of money when I got an opportunity from my best friend.  He knew of a live-in position where I would be payed well to be a caregiver. I leapt at the opportunity, not realizing how big of an impact it would have on my life.",2018-02-15,89832,Explicit,F/M,Completed,Age Play | Age Play Caregiver Jung Hoseok | J-Hope | Age Play Caregiver Kim Namjoon | RM | Age Play Caregiver Min Yoongi | Suga | Age Play Little Jeon Jungkook | Age Play Little Kim Seokjin | Age Play Little Kim Taehyung | V | Age Play Little Park Jimin | Cute Jeon Jungkook | Headspace | Jeon Jungkook-Centric | Littles | Sweet Jeon Jungkook | caretaker,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Kim Taehyung | V, Kim Namjoon | RM/Kim Seokjin | Jin, Min Yoongi | Suga/Park Jimin Series: Littles [1]",false,jungkook,{'jungkook'}
https://golemlab.eu/graph/7100920,809,Intoxicating,"REQUEST: “Could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”",2016-06-05,6547,Teen And Up Audiences,F/M,Completed,Clubbing | Drunk Texting | Implied Sexual Content | Request Meme | Roommates | Sexual Tension,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/31682261,803,mono/stereo,You've got big plans for your career in the music industry - and the confidence to follow-through on them. You leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. It's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,2021-06-02,163787,Explicit,F/M,In-Progress,Angst | Come Swallowing | Dirty Talk | Enemies to Lovers | Eventual Romance | Eventual Smut | Explicit Language | Explicit Sexual Content | Foreplay | Hand Jobs | OT7 | Oral Sex | Producer Reader | Sex | Slow Burn | Smut | Vaginal Fingering | Vaginal Sex,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/8565991,793,Safety Pin,"With a reputation like Yoongi's, it is hard to build any kind of relationship with any kind of person. Until one person changes the way the world perceives him.",2016-11-15,37965,Mature,F/M,Completed,Alternate Universe | Angst | Bad Boy Yoongi | Blood | Eventual Smut | Fluff | Fluff and Angst | Gang Violence | Gangs | Hurt/Comfort | Slow Burn | Smut | Violence,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/8184632,780,Out of the Blue,"Jungkook has only ever thought of his breeding clients as just that - clients, and he’s always quite indifferent to them since he only ever knows them for a short period of time. But then you come along, and he starts experiencing feelings that aren’t being manipulated by your heat. Real feelings, that he has never harbored before with anyone else.",2016-10-02,22561,Explicit,F/M,In-Progress,Angst | Dogboys & Doggirls | Knotting | Mating Cycles/In Heat | dogboy jungkook | doggirl reader | extremely graphic vulgar smut like whoa | lowkey namjin on the side | so much angst in the future lol,"Jeon Jungkook/Reader, Kim Namjoon | Rap Monster/Kim Seokjin | Jin Series: Dogboys [3]",false,jungkook,{'jungkook'}
https://golemlab.eu/graph/15226815,765,Run Little Rabbit,"Jung Hoseok - the Alpha wolf of his pack and far out of your league. As a rabbit shifter who still jumps around predators, you fantasise about your dangerous crush from a safe distance, particularly as he doesn’t like you. But what happens when he goes into heat and you’re the only one he’ll accept?",2018-07-09,15323,Explicit,F/M,Completed,Biting | Creampie | Cumplay | Degradation | Degrading Talk | Dom Hoseok | Forced Orgasms | Impregnation Kink | Knotting | Overstimulation | Possessive Behaviour | Possessive Talk | Rough Sex | Shifter AU | Shifter Reader | Spanking | Squirting | Supernatural AU - Freeform | Wolf Shifter AU | rabbit shifter reader | sub Reader | wolf shifter hoseok,Jung Hoseok | J-Hope/Reader Series: Run Little Rabbit [1],false,hoseok,{'hoseok'}
